# Helper Methods called multiple times: 1695
Helper Method Class: com.helger.commons.io.stream.NonClosingInputStream, Helper Method name: void close()
	Called from: com.helger.commons.io.file.FileOperationManagerTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.PathOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.PathOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.PathOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.PathOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.PathOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testDeleteFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testCopyFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.FileOperationsTest, method: void testRenameFile()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testWriteFile()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testWriteFile()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileBytes()
	Called from: com.helger.commons.supplementary.test.java.JavaFileAccessFuncTest, method: void testAccessRights()
Helper Method Class: com.helger.commons.mutable.MutableFloat, Helper Method name: java.lang.String toString()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testToString()
	Called from: com.helger.commons.mutable.MutableFloatTest, method: void testMutableFloat()
	Called from: com.helger.commons.mutable.MutableFloatTest, method: void testMutableFloat()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testToString()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testToString()
	Called from: com.helger.commons.typeconvert.TypeConverterTest, method: void testToString()
Helper Method Class: com.helger.commons.locale.LocaleHelper, Helper Method name: java.lang.String getValidLanguageCode(java.lang.String)
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
	Called from: com.helger.commons.locale.LocaleHelperTest, method: void testGetValidLanguageCode()
Helper Method Class: com.helger.commons.mock.CommonsTestHelper, Helper Method name: void testDefaultImplementationWithDifferentContentObject(java.lang.Object,java.lang.Object)
	Called from: com.helger.commons.collection.map.LRUSetTest, method: void testLRUCache()
	Called from: com.helger.commons.mutable.MutableShortTest, method: void testMutableByte()
	Called from: com.helger.commons.mutable.MutableByteTest, method: void testMutableByte()
	Called from: com.helger.commons.mutable.MutableCharTest, method: void testMutableChar()
	Called from: com.helger.commons.mutable.MutableDoubleTest, method: void testMutableDouble()
	Called from: com.helger.commons.mutable.MutableBooleanTest, method: void testMutableBoolean()
	Called from: com.helger.commons.mutable.MutableIntTest, method: void testMutableInt()
	Called from: com.helger.commons.mutable.MutableFloatTest, method: void testMutableFloat()
	Called from: com.helger.commons.mutable.MutableLongTest, method: void testMutableLong()
	Called from: com.helger.commons.io.resource.FileSystemResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.resource.ClassPathResourceTest, method: void testDefault()
	Called from: com.helger.commons.io.resource.URLResourceTest, method: void testAccess()
	Called from: com.helger.commons.io.provider.FileSystemByteStreamProviderTest, method: void testAll()
	Called from: com.helger.commons.io.resourceprovider.ClassPathResourceProviderTest, method: void testEqualsAndHashcode()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.io.file.FileIOErrorTest, method: void testStdMethods()
	Called from: com.helger.commons.type.TypedObjectTest, method: void testAll()
	Called from: com.helger.commons.type.TypedObjectTest, method: void testAll()
	Called from: com.helger.commons.type.ObjectTypeTest, method: void testAll()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.format.FormatableObjectTest, method: void testImpl()
	Called from: com.helger.commons.state.ChangeWithValueTest, method: void testAll()
	Called from: com.helger.commons.state.ChangeWithValueTest, method: void testAll()
	Called from: com.helger.commons.state.SuccessWithValueTest, method: void testAll()
	Called from: com.helger.commons.state.SuccessWithValueTest, method: void testAll()
	Called from: com.helger.commons.location.SimpleLocationTest, method: void testBasic()
	Called from: com.helger.commons.location.SimpleLocationTest, method: void testBasic()
	Called from: com.helger.commons.location.SimpleLocationTest, method: void testBasic()
	Called from: com.helger.commons.wrapper.WrapperTest, method: void testWrapper()
	Called from: com.helger.commons.http.HttpHeaderMapTest, method: void testSetAllHeadersPrefilled()
	Called from: com.helger.commons.http.HttpHeaderMapTest, method: void testAddAllHeadersPrefilledSameName()
	Called from: com.helger.commons.http.HttpHeaderMapTest, method: void testAddAllHeadersPrefilledDifferentCasing()
	Called from: com.helger.commons.http.HttpHeaderMapTest, method: void testAddAllHeadersPrefilled()
	Called from: com.helger.commons.thirdparty.CustomLicenseTest, method: void testAll()
	Called from: com.helger.commons.thirdparty.CustomLicenseTest, method: void testAll()
	Called from: com.helger.commons.thirdparty.CustomLicenseTest, method: void testAll()
	Called from: com.helger.commons.thirdparty.CustomLicenseTest, method: void testAll()
	Called from: com.helger.commons.thirdparty.CustomLicenseTest, method: void testAll()
	Called from: com.helger.commons.thirdparty.CustomLicenseTest, method: void testAll()
	Called from: com.helger.commons.thirdparty.ThirdPartyModuleTest, method: void testStd()
	Called from: com.helger.commons.thirdparty.ThirdPartyModuleTest, method: void testStd()
	Called from: com.helger.commons.thirdparty.ThirdPartyModuleTest, method: void testStd()
	Called from: com.helger.commons.thirdparty.ThirdPartyModuleTest, method: void testStd()
	Called from: com.helger.commons.thirdparty.ThirdPartyModuleTest, method: void testStd()
	Called from: com.helger.commons.thirdparty.ThirdPartyModuleTest, method: void testStd()
	Called from: com.helger.commons.version.VersionTest, method: void testHashCode()
	Called from: com.helger.commons.version.VersionTest, method: void testHashCode()
	Called from: com.helger.commons.version.VersionTest, method: void testHashCode()
	Called from: com.helger.commons.version.VersionTest, method: void testHashCode()
	Called from: com.helger.commons.version.VersionTest, method: void testHashCode()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testEquals()
	Called from: com.helger.commons.id.factory.StringIDFromGlobalPersistentLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.StringIDFromGlobalPersistentIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.MemoryIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.MemoryLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.FileIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.StringIDFromGlobalLongIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.id.factory.StringIDFromGlobalIntIDFactoryTest, method: void testAll()
	Called from: com.helger.commons.text.ReadOnlyMultilingualTextTest, method: void testCtor()
	Called from: com.helger.commons.text.ConstantHasTextTest, method: void testStandard()
	Called from: com.helger.commons.text.resourcebundle.ResourceBundleTextProviderTest, method: void testISO8859()
	Called from: com.helger.commons.text.resourcebundle.ResourceBundleKeyTest, method: void testCtor()
	Called from: com.helger.commons.text.resourcebundle.ResourceBundleKeyTest, method: void testCtor()
	Called from: com.helger.commons.text.ConstantHasTextWithArgsTest, method: void testStandard()
	Called from: com.helger.commons.factory.FactoryNewInstanceTest, method: void testEqualsAndHashCode()
	Called from: com.helger.commons.mime.MimeTypeTest, method: void testCtor()
	Called from: com.helger.commons.mime.MimeTypeTest, method: void testCtor()
	Called from: com.helger.commons.mime.MimeTypeParameterTest, method: void testBasic()
	Called from: com.helger.commons.mime.MimeTypeParameterTest, method: void testBasic()
	Called from: com.helger.commons.lang.TimeValueTest, method: void testAll()
	Called from: com.helger.commons.lang.TimeValueTest, method: void testAll()
	Called from: com.helger.commons.dimension.SizeIntTest, method: void testCtor()
	Called from: com.helger.commons.dimension.SizeIntTest, method: void testCtor()
	Called from: com.helger.commons.dimension.SizeDoubleTest, method: void testCtor()
	Called from: com.helger.commons.dimension.SizeDoubleTest, method: void testCtor()
	Called from: com.helger.commons.email.EmailAddressTest, method: void testBasic()
	Called from: com.helger.commons.email.EmailAddressTest, method: void testBasic()
	Called from: com.helger.commons.collection.NonBlockingStackTest, method: void testMethods()
	Called from: com.helger.commons.collection.iterate.ArrayIteratorTest, method: void testStdMethods()
	Called from: com.helger.commons.collection.iterate.ArrayIteratorTest, method: void testStdMethods()
	Called from: com.helger.commons.collection.attr.AttributeContainerAnyTest, method: void testInit()
	Called from: com.helger.commons.collection.map.LoggingLRUMapTest, method: void testAll()
	Called from: com.helger.commons.collection.map.LoggingLRUMapTest, method: void testAll()
	Called from: com.helger.commons.collection.map.MapEntryTest, method: void testCtor()
	Called from: com.helger.commons.collection.map.MapEntryTest, method: void testCtor()
	Called from: com.helger.commons.collection.map.LRUSetTest, method: void testLRUCache()
Helper Method Class: com.helger.commons.compare.CollatorHelper, Helper Method name: java.text.Collator getCollatorSpaceBeforeDot(java.util.Locale)
	Called from: com.helger.commons.compare.CompareHelperTest, method: void testNullSafeCompare()
	Called from: com.helger.commons.compare.CollatorHelperTest, method: void testGetCollatorSpaceBeforeDot()
	Called from: com.helger.commons.compare.CollatorHelperTest, method: void testGetCollatorSpaceBeforeDot()
	Called from: com.helger.commons.compare.CollatorHelperTest, method: void testGetCollatorSpaceBeforeDot()
Helper Method Class: com.helger.commons.io.file.FileIOError, Helper Method name: boolean isSuccess()
	Called from: com.helger.commons.supplementary.test.java.JavaFileAccessFuncTest, method: void testAccessRights()
	Called from: com.helger.commons.io.relative.FileRelativeIOTest, method: void testBasePath()
	Called from: com.helger.commons.io.relative.FileRelativeIOTest, method: void testBasePath()
	Called from: com.helger.commons.io.relative.FileRelativeIOTest, method: void testBasePath()
	Called from: com.helger.commons.io.relative.FileRelativeIOTest, method: void testBasePath()
	Called from: com.helger.commons.io.relative.FileRelativeIOTest, method: void testBasePath()
	Called from: com.helger.commons.io.relative.FileRelativeIOTest, method: void testBasePath()
	Called from: com.helger.commons.io.provider.FileSystemByteStreamProviderTest, method: void testAll()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.io.file.SimpleFileIOTest, method: void testReadFileAsString()
	Called from: com.helger.commons.supplementary.test.java.JavaFileAccessFuncTest, method: void testAccessRights()
	Called from: com.helger.commons.supplementary.test.java.JavaFileAccessFuncTest, method: void testAccessRights()
Helper Method Class: com.helger.commons.collection.PrimitiveCollectionHelper, Helper Method name: com.helger.commons.collection.impl.CommonsArrayList newPrimitiveList(boolean[])
	Called from: com.helger.commons.collection.PrimitiveCollectionHelperTest, method: void testNewBooleanContainer()
	Called from: com.helger.commons.collection.PrimitiveCollectionHelperTest, method: void testNewBooleanContainer()
Helper Method Class: com.helger.commons.hierarchy.ChildrenProviderHasChildren, Helper Method name: int getChildCount(com.helger.commons.hierarchy.IHasChildren)
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenWithIDTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenSortingTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenSortingTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenSortingTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenSortedTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenSortedTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenSortedTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenWithIDTest, method: void testAll()
	Called from: com.helger.commons.hierarchy.ChildrenProviderHasChildrenWithIDTest, method: void testAll()
Helper Method Class: com.helger.commons.state.EInterrupt, Helper Method name: com.helger.commons.state.EInterrupt valueOf(boolean)
	Called from: com.helger.commons.state.EInterruptTest, method: void testAll()
	Called from: com.helger.commons.state.EInterruptTest, method: void testAll()
Helper Method Class: com.helger.commons.io.file.IFileFilter$lambda_filenameEqualsIgnoreCase_5420772d_1__256, Helper Method name: boolean test(java.lang.Object)
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testAll()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNegate()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNegate()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNegate()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNegate()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNegate()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNegate()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testIsNull()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testIsNull()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testIsNull()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNotNull()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNotNull()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNotNull()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNone()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNone()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testNone()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testAll()
	Called from: com.helger.commons.functional.IPredicateFuncTest, method: void testAll()
Helper Method Class: com.helger.commons.lang.ClassHelper, Helper Method name: boolean isAbstractClass(java.lang.Class)
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
	Called from: com.helger.commons.lang.ClassHelperTest, method: void testIsAbstract()
Helper Method Class: com.helger.commons.version.VersionRange, Helper Method name: com.helger.commons.version.Version getCeilVersion()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
	Called from: com.helger.commons.version.VersionRangeTest, method: void testVersionRange()
